EditionIdentifier,PartIdentifier,Description
Agahd,I-XVI [Roman numerals],"Agahd, M. Terenti Varronis Antiquitatum rerum divinarum libri I, XIV, XV, XVI"
Astbury,[none],"Astbury, M. Terentius Varro. Saturarum Menippearum fragmenta"
BNJ,1-1000+ [Arabic numerals],Brills New Jacoby
Bolisani,[none],"Bolisani, I logistorici Varroniani "
Cardauns,[none],"Cardauns, M. Terentius Varro. Antiquitates rerum diuinarum"
Cèbe,[none],"Cèbe, Varron, Satires Ménippées"
Chappuis,[none],"Chappuis, Fragments des ouvrages de M. Terentius Varron intitulés Logistorici, Hebdomades uel De imaginibus, De forma philosophiae "
Cugusi-Sblendorio Cugusi,[none],"Cugusi and Sblendorio Cugusi, Opere: Marco Porcio Catone censore"
ELM,[Roman Name],"Cugusi, Epistolographi Latini minores"
FGrHist,1-1000+ [Arabic numerals],"Jacoby, Fragmente der griechischen Historiker"
FLP,[Roman name],"Courtney, Fragmentary Latin Poets"
FHG,[Roman Name],"Müller, Fragmenta Historicorum Graecorum"
FPL,[Roman Name],"Blänsdorf et al., Fragmenta poetarum Latinorum epicorum et lyricorum"
Fraccaro,[none],"Fraccaro, Studi Varroniani: De gente populi romani, libri IV "
FRHist,1-100+ [Arabic numerals],"Cornell et al., Fragments of the Roman Historians"
Garcea,[none],"Garcea, Caesar's De Analogia"
Goetz-Schoell,[none],"Goetz and Schoell, M. Terenti Varronis: De lingua Latina quae supersunt "
GRF,[Roman name],"Funaioli, Grammaticae Romanae fragmenta"
Hagendahl,[none],"Hagendahl, Augustine and the Latin Classics"
HRF,[Roman Name],"Peter, Historicorum Romanorum fragmenta"
HRR,[Roman Name],"Peter, Historicorum Romanorum reliquiae"
IAH,[Roman Name] + [Roman numeral and title],"Bremer, Iurisprudentiae antehadrianae"
IAR,[Roman Name],"Huschke, Seckel, Kubler, Iurisprudentiae anteiustinianae reliquiae"
Lersch,[none],"Lersch, Gavius Bassus und Cäsius Bassus"
Marshall,[none],"Marshall, Cornelii Nepotis vitae cum fragmentis"
Mastandrea,[none],"Mastandrea, Un neoplatonico Latino: Cornelio Labeone"
Mercklin,[none],"Mercklin, Aetia des Varro"
Mirsch,I-XXV [Roman numerals],"Mirsch, De M. Terenti Varronis Antiquitatum rerum humanarum librs XXV"
ORF,[Roman name],"Malcovati, Oratorum Romanorum fragmenta"
Pittà,[none],"Pittà, M. Terenzio Varrone, de uita populi Romani: Introduzione e commento"
Riese,[none],"Riese, M. Terenti Varronis saturarum Menippearum reliquiae "
Riposati,[none],"Riposati, M. Terenti Varronis De Vita Populi Romani "
Salvadore,[none],"Salvadore, M. Terenti Varronis Fragmenta omnia quae extant"
SDEF,[Roman name],"Thulin, Scriptorum disciplinae Etruscae fragmenta"
Swoboda,[none],"Swoboda, P. Nigidii Figuli Operum Reliquiae"
TRF3,[Roman name] + [title],"Ribbeck, Tragicorum Romanorum fragmenta"
Wallraff,[none],"Wallraff et al., lulius Africanus, Chronographiae: the extant fragments"
Wilmanns,[none],"Wilmanns, De M. Terenti Varronis libris grammaticis "
